year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1961,5,76,none,alternating,Ah/L,LC8,1.508,1.103,*,3.000
1961,5,77,FYM,alternating,L/Ah,LC8,1.508,1.142,*,3.000
1961,5,78,none,alternating,L/Ah,LC8,1.508,1.009,*,3.000
1961,5,79,none,ley_arable,Lu,LC3,1.388,1.029,*,3.000
1961,5,80,FYM,ley_arable,Lu,LC3,1.388,1.225,*,3.000
1962,4,49,FYM,alternating,Ah/L,LC8,1.508,0.996,*,4.000
1962,4,50,none,alternating,Ah/L,LC8,1.508,0.993,*,4.000
1962,4,51,none,alternating,Ar/Lu,LN8,1.508,1.083,*,4.000
1962,4,52,FYM,alternating,Ar/Lu,LN8,1.508,1.174,*,4.000
1962,4,53,none,arable,Ah,AB,1.508,0.973,*,4.000
1962,4,54,FYM,arable,Ah,AB,1.508,1.128,*,4.000
1962,4,55,none,alternating,L/Ah,LC8,1.508,1.219,*,4.000
1962,4,56,FYM,alternating,L/Ah,LC8,1.508,1.326,*,4.000
1962,4,57,FYM,ley_arable,L,LN3,1.388,1.367,*,4.000
1962,4,58,none,ley_arable,L,LN3,1.388,1.322,*,4.000
1962,4,59,FYM,ley_arable,Lu,LC3,1.388,1.268,*,4.000
1962,4,60,none,ley_arable,Lu,LC3,1.388,1.224,*,4.000
1962,4,61,none,alternating,Lu/Ar,LN8,1.508,1.008,*,4.000
1962,4,62,FYM,alternating,Lu/Ar,LN8,1.508,1.149,*,4.000
1962,4,63,FYM,arable,Ar,AF,1.508,1.086,*,4.000
1962,4,64,none,arable,Ar,AF,1.508,1.178,*,4.000
1963,2,17,none,arable,Ah,AB,1.508,0.810,*,*
1963,2,18,FYM,arable,Ah,AB,1.508,0.910,*,*
1963,2,19,none,arable,Ar,AF,1.508,0.800,*,*
1963,2,20,FYM,arable,Ar,AF,1.508,0.990,*,*
1963,2,21,FYM,alternating,Ah/L,LC8,1.508,0.910,*,*
1963,2,22,none,alternating,Ah/L,LC8,1.508,0.870,*,*
1963,2,23,none,alternating,L/Ah,LC8,1.508,0.970,*,*
1963,2,24,FYM,alternating,L/Ah,LC8,1.508,1.120,*,*
1963,2,25,FYM,alternating,Lu/Ar,LN8,1.508,0.920,*,*
1963,2,26,none,alternating,Lu/Ar,LN8,1.508,0.790,*,*
1963,2,27,none,alternating,Ar/Lu,LN8,1.508,0.850,*,*
1963,2,28,FYM,alternating,Ar/Lu,LN8,1.508,1.100,*,*
1963,2,29,none,ley_arable,Lu,LC3,1.388,0.770,*,*
1963,2,30,FYM,ley_arable,Lu,LC3,1.388,0.860,*,*
1963,2,31,none,ley_arable,L,LN3,1.388,1.040,*,*
1963,2,32,FYM,ley_arable,L,LN3,1.388,1.240,*,*
1964,1,1,FYM,arable,Ah,AB,1.508,0.860,*,*
1964,1,2,none,arable,Ah,AB,1.508,0.840,*,*
1964,1,3,none,ley_arable,Lu,LC3,1.388,0.810,*,*
1964,1,4,FYM,ley_arable,Lu,LC3,1.388,1.130,*,*
1964,1,5,FYM,arable,Ar,AF,1.508,0.780,*,*
1964,1,6,none,arable,Ar,AF,1.508,0.670,*,*
1964,1,7,none,alternating,L/Ah,LC8,1.508,0.950,*,*
1964,1,8,FYM,alternating,L/Ah,LC8,1.508,1.170,*,*
