year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1978,4,55,3,55.300,none,FA:N2,N126,126,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.456,*
1978,4,55,4,55.400,none,FA:N0,N0,0,0,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.739,*
1978,4,56,1,56.100,FYM,FA:N0,N0,0,0,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.476,*
1978,4,56,2,56.200,FYM,FA:N1,N63,63,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.227,*
1978,4,56,3,56.300,FYM,FA:N2,N126,126,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.555,*
1978,4,56,4,56.400,FYM,FA:N3,N189,189,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.688,*
1978,4,57,1,57.100,FYM,FA:N0,N0,0,0,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.472,*
1978,4,57,2,57.200,FYM,FA:N3,N189,189,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.771,*
1978,4,57,3,57.300,FYM,FA:N2,N126,126,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.185,*
1978,4,57,4,57.400,FYM,FA:N1,N63,63,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.525,*
1978,4,58,1,58.100,none,FA:N0,N0,0,0,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.693,*
1978,4,58,2,58.200,none,FA:N2,N126,126,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.471,*
1978,4,58,3,58.300,none,FA:N1,N63,63,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.512,*
1978,4,58,4,58.400,none,FA:N3,N189,189,1,Ln3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.664,*
1978,4,59,1,59.100,FYM,FA:N0,N0,0,0,Lc3,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,3.507,*
