year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1979.000,3.000,25/26,*,ley_arable,Lc,*,1979-05-09 00:00:00,0-23,*,*,*,2.240,*,*,*,*,*,*,*,*
1979.000,3.000,27/28,*,arable,A,*,1979-05-09 00:00:00,0-23,*,*,*,1.700,*,*,*,*,*,*,*,*
1979.000,3.000,29/30,*,ley_arable,Ln,*,1979-05-09 00:00:00,0-23,*,*,*,1.920,*,*,*,*,*,*,*,*
1979.000,3.000,31/32,1,reseeded grass,Rpc,c,1979-05-09 00:00:00,0-23,*,*,*,2.280,*,*,*,*,*,*,*,13
1979.000,3.000,31/32,2,reseeded grass,Rpn,n,1979-05-09 00:00:00,0-23,*,*,*,2.380,*,*,*,*,*,*,*,13
1979.000,3.000,33/34,1,permanent grass,[G],*,1979-05-09 00:00:00,0-23,0.944,*,*,2.940,*,*,*,*,*,*,*,7
1979.000,3.000,33/34,2,permanent grass,[G],*,1979-05-09 00:00:00,0-23,0.944,*,*,2.760,*,*,*,*,*,*,*,7
1979.000,3.000,35/36,*,ley_arable,Lu,*,1979-05-09 00:00:00,0-23,*,*,*,1.770,*,*,*,*,*,*,*,*
1979.000,4.000,37/38,*,ley_arable,Lu,*,1979-05-09 00:00:00,0-23,*,*,*,1.820,*,*,*,*,*,*,*,*
1979.000,4.000,39/40,1,reseeded grass,Rc,c,1979-05-09 00:00:00,0-23,*,*,*,3.180,*,*,*,*,*,*,*,*
1979.000,4.000,39/40,2,reseeded grass,Rn,n,1979-05-09 00:00:00,0-23,*,*,*,2.900,*,*,*,*,*,*,*,*
1979.000,4.000,41/42,*,arable,A,*,1979-05-09 00:00:00,0-23,1.011,*,*,1.740,*,*,*,*,*,*,*,*
1979.000,4.000,43/44,*,ley_arable,Ln,*,1979-05-09 00:00:00,0-23,*,*,*,1.870,*,*,*,*,*,*,*,*
1979.000,4.000,45/46,*,ley_arable,Lc,*,1979-05-09 00:00:00,0-23,*,*,*,1.880,*,*,*,*,*,*,*,*
1979.000,4.000,47/48,1,permanent grass,Gn,n,1979-05-09 00:00:00,0-23,0.944,*,*,3.000,*,*,*,*,*,*,*,*
1979.000,4.000,47/48,2,permanent grass,Gc,c,1979-05-09 00:00:00,0-23,0.944,*,*,3.250,*,*,*,*,*,*,*,*
1981.000,1.000,01/02,1,permanent grass,Gn,n,1981-09-29 00:00:00,0-23,0.944,*,*,3.230,*,*,*,*,*,*,*,*
1981.000,1.000,01/02,2,permanent grass,Gc,c,1981-09-29 00:00:00,0-23,0.944,*,*,3.060,*,*,*,*,*,*,*,*
1981.000,1.000,03/04,*,ley_arable,Lu,*,1982-01-05 00:00:00,0-23,*,*,*,1.800,*,*,*,*,*,*,*,*
1981.000,1.000,05/06,1,reseeded grass,Rn,n,1981-09-29 00:00:00,0-23,*,*,*,2.840,*,*,*,*,*,*,*,*
1981.000,1.000,05/06,2,reseeded grass,Rc,c,1981-09-29 00:00:00,0-23,*,*,*,3.360,*,*,*,*,*,*,*,*
1981.000,1.000,07/08,*,ley_arable,Ln,*,1982-01-05 00:00:00,0-23,*,*,*,2.040,*,*,*,*,*,*,*,*
1981.000,1.000,09/10,*,arable,A,*,1982-01-05 00:00:00,0-23,1.015,*,*,1.710,*,*,*,*,*,*,*,*
1981.000,1.000,11/12,*,ley_arable,Lc,*,1982-01-05 00:00:00,0-23,*,*,*,1.900,*,*,*,*,*,*,*,*
1981.000,2.000,13/14,1,reseeded grass,Rpc,c,1981-09-29 00:00:00,0-23,*,*,*,2.380,*,*,*,*,*,*,*,13
1981.000,2.000,13/14,2,reseeded grass,Rpn,n,1981-09-29 00:00:00,0-23,*,*,*,2.600,*,*,*,*,*,*,*,13
1981.000,2.000,15/16,*,ley_arable,Lc,*,1982-01-05 00:00:00,0-23,*,*,*,2.120,*,*,*,*,*,*,*,*
1981.000,2.000,17/18,*,ley_arable,Ln,*,1982-01-05 00:00:00,0-23,*,*,*,2.080,*,*,*,*,*,*,*,*
1981.000,2.000,19/20,*,arable,A,*,1982-01-05 00:00:00,0-23,*,*,*,1.720,*,*,*,*,*,*,*,*
1981.000,2.000,21/22,*,ley_arable,Lu,*,1982-01-05 00:00:00,0-23,*,*,*,1.740,*,*,*,*,*,*,*,*
1981.000,2.000,23/24,1,permanent grass,Gc,c,1981-09-29 00:00:00,0-23,0.944,*,*,3.450,*,*,*,*,*,*,*,*
1981.000,2.000,23/24,2,permanent grass,Gn,n,1981-09-29 00:00:00,0-23,0.944,*,*,3.350,*,*,*,*,*,*,*,*
1981.000,3.000,25/26,*,ley_arable,Lc,*,1982-01-05 00:00:00,0-23,*,*,*,2.180,*,*,*,*,*,*,*,*
1981.000,3.000,27/28,*,arable,A,*,1982-01-05 00:00:00,0-23,*,*,*,1.630,*,*,*,*,*,*,*,*
1981.000,3.000,29/30,*,ley_arable,Ln,*,1982-01-05 00:00:00,0-23,*,*,*,1.980,*,*,*,*,*,*,*,*
1981.000,3.000,31/32,1,reseeded grass,Rpc,c,1981-09-29 00:00:00,0-23,*,*,*,2.200,*,*,*,*,*,*,*,13
1981.000,3.000,31/32,2,reseeded grass,Rpn,n,1981-09-29 00:00:00,0-23,*,*,*,2.360,*,*,*,*,*,*,*,13
1981.000,3.000,33/34,1,permanent grass,[G],*,1981-09-29 00:00:00,0-23,0.944,*,*,3.000,*,*,*,*,*,*,*,7
1981.000,3.000,33/34,2,permanent grass,[G],*,1981-09-29 00:00:00,0-23,0.944,*,*,2.660,*,*,*,*,*,*,*,7
1981.000,3.000,35/36,*,ley_arable,Lu,*,1982-01-05 00:00:00,0-23,*,*,*,1.760,*,*,*,*,*,*,*,*
1981.000,4.000,37/38,*,ley_arable,Lu,*,1982-01-05 00:00:00,0-23,*,*,*,1.750,*,*,*,*,*,*,*,*
1981.000,4.000,39/40,1,reseeded grass,Rc,c,1981-09-29 00:00:00,0-23,*,*,*,3.140,*,*,*,*,*,*,*,*
1981.000,4.000,39/40,2,reseeded grass,Rn,n,1981-09-29 00:00:00,0-23,*,*,*,2.900,*,*,*,*,*,*,*,*
1981.000,4.000,41/42,*,arable,A,*,1982-01-05 00:00:00,0-23,1.015,*,*,1.710,*,*,*,*,*,*,*,*
1981.000,4.000,43/44,*,ley_arable,Ln,*,1982-01-05 00:00:00,0-23,*,*,*,1.780,*,*,*,*,*,*,*,*
1981.000,4.000,45/46,*,ley_arable,Lc,*,1982-01-05 00:00:00,0-23,*,*,*,1.840,*,*,*,*,*,*,*,*
1981.000,4.000,47/48,1,permanent grass,Gn,n,1981-09-28 00:00:00,0-23,0.944,*,*,3.130,*,*,*,*,*,*,*,*
1981.000,4.000,47/48,2,permanent grass,Gc,c,1981-09-28 00:00:00,0-23,0.944,*,*,3.120,*,*,*,*,*,*,*,*
1984.000,1.000,01/02,1,permanent grass,Gn,n,1985-04-01 00:00:00,0-23,0.944,*,*,3.420,*,*,*,*,*,*,*,*
