site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1951,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1951-06-21,1951-06-23,1951-06-29,1951-07-02,0.039,2.096,*,1951-10-02,1951-10-05,1951-10-03,1951-10-08,0.039,0.619,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1952,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1952-06-19,1952-06-23,1952-06-23,1952-06-27,0.039,2.392,*,1952-09-22,1952-09-23,1952-09-22,1952-09-23,0.039,0.196,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1953,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1953-07-21,1953-07-23,1953-07-28,1953-08-04,0.039,1.965,*,1953-11-19,1953-11-23,1953-11-24,1953-11-25,0.039,0.280,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1954,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1954-06-24,1954-06-26,1954-07-09,1954-07-09,0.039,1.749,*,1954-11-11,1954-11-16,1954-11-19,1954-11-22,0.039,0.936,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1955,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1955-06-28,1955-06-30,1955-07-05,1955-07-08,0.039,2.419,*,1955-09-15,1955-09-20,1955-09-15,1955-09-20,0.039,0.264,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1956,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1956-07-11,1956-07-12,1956-07-23,1956-07-24,0.039,0.704,*,1956-11-19,1956-11-20,1956-11-21,1956-11-23,0.039,0.552,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1957,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1957-06-18,1957-06-19,1957-06-21,1957-06-21,0.039,1.956,*,1957-09-24,1957-09-26,1957-09-26,1957-09-27,0.039,0.933,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1958,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1958-07-07,1958-07-08,1958-07-11,1958-07-11,0.039,2.190,*,1958-12-22,1959-01-01,1958-12-22,1959-01-01,0.039,2.859,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1959,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1959-06-15,1959-06-16,1959-06-18,1959-06-18,0.033,1.652,*,1959-09-14,1959-09-19,*,*,0.006,2.307,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1960,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1960-06-16,1960-06-16,*,*,0.006,0.808,1.916,1960-10-12,1960-10-12,*,*,0.006,1.350,"1, 6"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1961,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1961-06-20,1961-06-20,*,*,0.006,1.882,3.186,1961-09-21,1961-09-22,*,*,0.006,0.803,"1, 6"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1962,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1962-06-13,1962-06-13,*,*,0.006,0.438,1.325,1962-10-03,1962-10-03,*,*,0.006,1.759,"1, 6"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1963,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1963-06-27,1963-06-27,*,*,0.006,0.853,1.979,1963-10-01,1963-10-02,*,*,0.006,1.178,"1, 6"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1964,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1964-06-26,1964-06-30,*,*,0.006,1.034,2.222,*,*,*,*,*,*,"1, 6, 7"
Rothamsted,1U,1,*,U,1903.000,1c 1 d,1965,*,*,1903,N1,N1,48,0,0,0,0,0,0,0,0,0,0,U,0.000,0,0,0,0,1903-07-02,1903-07-02,1903-07-03,1903-07-03,0.050,1.866,*,1903-09-30,1903-10-02,1903-10-16,1903-10-16,0.099,0.868,"1, 7, 8"
