harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1922,1,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,0.930,0.100,9.300,*,*,*,*,3
1922,2,a,i,N1,L0,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,2,a,ii,N1,L1,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,2,b,i,N1,L3,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,2,b,ii,N1,L3,nil,0.000,0,nil,0,N1,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,3,a,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,3,a,ii,N2*,L2,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,3,b,i,N1*,L0,nil,0.000,0,nil,0,N1*,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,3,b,ii,N1*,L2,nil,0.000,0,nil,0,N1*,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,4,a,*,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,4,b,*,PK(NaMg),L1,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,5,a,i,N1PK(NaMg),L0,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,5,a,ii,N1PK(NaMg),L2,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,5,b,*,N1PK(NaMg),L3,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,6,*,*,N1*PK(NaMg),L0,nil,0.000,0,nil,0,N1*,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,8,a,i,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,8,a,ii,PK(NaMg),L3,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,8,b,i,N2PK(NaMg),L0,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,8,b,ii,N2PK(NaMg),L3,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,9,a,*,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,9,b,*,N2*PK(NaMg),L0,nil,0.000,0,nil,0,N2*,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1922,10,a,*,N1*P ,L0,nil,0.000,0,nil,0,N1*,23,P1,22,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,10,b,*,R1,L0,nil,0.000,0,R1,23,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,11,a,*,N1*K,L0,nil,0.000,0,nil,0,N1*,23,nil,0,K2,49,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1922,11,b,*,FYM1.5,L0,FYM1.5,14.800,92,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,1.510,0.154,9.805,*,*,*,*,3
